batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
1665,38,0.01367,0.444,2.1505,1.6248,0.318,0.354
1666,29,0.01427,0.444,2.2691,1.7077,0.272,0.312
1667,49,0.01362,0.444,2.2198,1.6719,0.287,0.32
1668,31,0.01738,0.444,2.1953,1.6894,0.32,0.346
1669,21,0.00938,0.667,2.1657,1.6737,0.325,0.37
1670,16,0.02709,0.667,2.2227,1.6933,0.268,0.318
1671,21,0.0257,0.667,2.1589,1.6598,0.306,0.356
1672,25,0.02723,0.667,2.2831,1.7132,0.224,0.268
1673,31,0.02224,0.667,2.1828,1.6556,0.263,0.314
1674,15,0.01929,0.667,2.153,1.6837,0.289,0.338
1675,29,0.02549,0.667,2.1543,1.7054,0.366,0.407
1676,27,0.02878,0.667,2.0987,1.6544,0.395,0.433
1677,49,0.02559,0.667,2.1456,1.6953,0.304,0.345
1678,10,0.0285,0.667,2.1582,1.735,0.341,0.389
1679,13,0.03055,0.667,2.0869,1.7006,0.386,0.433
1680,49,0.02717,0.667,2.0736,1.6753,0.355,0.408
1681,49,0.024,0.667,2.1109,1.7156,0.392,0.435
1682,27,0.02271,0.667,2.1938,1.8006,0.326,0.368
1683,17,0.02373,0.667,2.1571,1.7101,0.321,0.348
1684,49,0.02968,0.667,2.1458,1.7249,0.365,0.407
1685,21,0.02624,0.667,2.1621,1.7813,0.394,0.439
1686,16,0.02047,0.667,2.1562,1.7361,0.336,0.374
1687,31,0.02692,0.667,2.0825,1.6798,0.351,0.407
1688,17,0.02184,0.667,2.0963,1.6805,0.384,0.42
1689,26,0.02274,0.667,2.0857,1.7013,0.388,0.421
1690,16,0.0273,0.667,2.0754,1.6792,0.397,0.429
1691,16,0.0269,0.667,2.0142,1.7172,0.397,0.429
1692,30,0.02516,0.667,2.1712,1.77,0.319,0.359
1693,13,0.03,0.667,2.0553,1.696,0.388,0.43
1694,20,0.0232,0.667,2.1683,1.6812,0.316,0.366
1695,13,0.03795,0.667,2.1559,1.7363,0.357,0.387
1696,35,0.032,0.667,2.1763,1.6975,0.363,0.411
1697,28,0.04174,0.444,2.167,1.7672,0.392,0.429
1698,18,0.01331,0.444,2.1913,1.7101,0.324,0.35
1699,21,0.02163,0.444,2.1344,1.722,0.344,0.373
1700,16,0.00824,0.667,2.2489,1.7512,0.218,0.252
1701,30,0.01795,0.667,2.2136,1.751,0.211,0.246
1702,12,0.01373,0.667,2.2238,1.7295,0.203,0.233
1703,13,0.01716,0.667,2.3011,1.7633,0.172,0.198
1704,49,0.01787,0.667,2.2013,1.8028,0.268,0.298
1705,13,0.01795,0.667,2.1437,1.6926,0.237,0.279
1706,15,0.01801,0.667,2.105,1.6708,0.224,0.26
1707,24,0.02573,0.667,2.2223,1.7689,0.214,0.252
1708,13,0.02543,0.667,2.1567,1.6957,0.262,0.304
