batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
771,18,0.02283,0.444,2.5266,1.9202,0.157,0.194
772,27,0.01956,0.444,2.3912,1.8091,0.232,0.264
773,21,0.0166,0.444,2.4398,1.8719,0.213,0.249
774,29,0.02101,0.444,2.393,1.8498,0.278,0.296
775,26,0.01505,0.444,2.3988,1.805,0.234,0.264
776,19,0.02279,0.444,2.4261,1.833,0.239,0.268
777,13,0.0228,0.444,2.4671,1.8136,0.188,0.226
778,14,0.01652,0.444,2.5965,1.8959,0.196,0.229
779,14,0.01605,0.444,2.5191,1.8726,0.207,0.232
780,49,0.01323,0.444,2.5015,1.8412,0.188,0.22
781,25,0.01458,0.444,2.5878,1.9153,0.113,0.163
782,11,0.01619,0.444,2.5344,1.9109,0.188,0.233
783,15,0.00858,0.667,2.4866,1.8579,0.16,0.178
784,49,0.02526,0.667,2.5513,1.9108,0.155,0.184
785,25,0.02955,0.667,2.374,1.7846,0.181,0.231
786,20,0.04275,0.444,2.416,1.8573,0.197,0.246
787,23,0.02535,0.444,2.4507,1.8513,0.207,0.228
788,13,0.03988,0.444,2.5398,1.885,0.19,0.224
789,15,0.03237,0.444,2.4779,1.8662,0.216,0.24
790,49,0.03065,0.444,2.4324,1.8376,0.205,0.23
791,29,0.02075,0.444,2.5808,1.9129,0.16,0.191
792,17,0.02143,0.444,2.5518,1.9102,0.247,0.267
793,32,0.01769,0.444,2.4684,1.8488,0.233,0.261
794,49,0.01487,0.444,2.5101,1.8573,0.207,0.232
795,22,0.01964,0.444,2.6225,1.9394,0.122,0.158
796,17,0.01151,0.444,2.4986,1.847,0.206,0.232
797,10,0.02149,0.444,2.5251,1.9061,0.181,0.204
798,33,0.01816,0.444,2.5213,1.8747,0.2,0.232
799,9,0.02875,0.444,2.5737,1.8627,0.141,0.164
800,15,0.02989,0.444,2.5221,1.8381,0.171,0.197
801,9,0.02656,0.444,2.5821,1.9153,0.177,0.205
802,21,0.02089,0.444,2.5784,1.918,0.133,0.162
803,40,0.01651,0.444,2.5353,1.9445,0.229,0.248
804,23,0.01593,0.444,2.5707,1.8865,0.186,0.216
805,14,0.02416,0.444,2.4765,1.849,0.245,0.272
806,21,0.01614,0.444,2.4824,1.8512,0.19,0.218
807,49,0.02643,0.444,2.5544,1.8548,0.194,0.222
808,23,0.02295,0.444,2.4813,1.8615,0.259,0.288
809,23,0.02604,0.444,2.4794,1.9,0.273,0.299
810,29,0.01602,0.444,2.4373,1.8782,0.303,0.335
811,12,0.01623,0.444,2.5284,1.8723,0.254,0.272
812,17,0.02433,0.444,2.4474,1.8363,0.243,0.281
813,49,0.01363,0.444,2.3691,1.8227,0.282,0.319
814,16,0.01453,0.444,2.4686,1.8923,0.273,0.296
815,19,0.01371,0.444,2.4681,1.8965,0.244,0.274
