batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
107,13,0.02921,0.444,3.3279,2.7148,0.258,0.36
108,14,0.01514,0.444,3.3047,2.6722,0.273,0.357
109,11,0.02477,0.444,3.3608,2.6431,0.194,0.304
110,12,0.02376,0.444,3.4015,2.7041,0.21,0.279
111,11,0.01942,0.444,3.2666,2.6999,0.318,0.397
112,16,0.01966,0.444,3.273,2.6475,0.261,0.364
113,17,0.01584,0.444,3.2875,2.6155,0.275,0.372
114,9,0.02861,0.444,3.2015,2.591,0.293,0.389
115,8,0.03121,0.444,3.2564,2.6114,0.315,0.376
116,18,0.02221,0.444,3.2805,2.709,0.272,0.36
117,7,0.03015,0.444,3.2819,2.6512,0.242,0.366
118,11,0.02195,0.444,3.3393,2.6512,0.224,0.289
119,12,0.02413,0.444,3.2637,2.5748,0.243,0.323
120,11,0.02402,0.444,3.235,2.6385,0.267,0.348
121,11,0.0199,0.444,3.282,2.5958,0.265,0.328
122,15,0.01616,0.444,3.2975,2.6443,0.23,0.32
123,10,0.01194,0.444,3.3002,2.6244,0.237,0.311
124,12,0.02204,0.444,3.2749,2.5542,0.206,0.311
125,13,0.02745,0.444,3.2431,2.5958,0.197,0.288
126,10,0.02159,0.444,3.2599,2.5468,0.267,0.33
127,7,0.01549,0.444,3.2434,2.5738,0.246,0.321
128,9,0.01798,0.444,3.1841,2.578,0.283,0.37
129,9,0.017,0.444,3.3014,2.614,0.237,0.324
130,9,0.02023,0.444,3.2376,2.6214,0.267,0.34
131,13,0.01793,0.444,3.2392,2.5901,0.239,0.356
132,9,0.02026,0.444,3.2278,2.5975,0.26,0.339
133,7,0.02682,0.444,3.1493,2.4851,0.301,0.397
134,14,0.01497,0.444,3.1708,2.5546,0.306,0.394
135,10,0.01281,0.444,3.1591,2.5266,0.255,0.357
136,8,0.02381,0.444,3.2572,2.5906,0.205,0.313
137,16,0.01924,0.444,3.164,2.5039,0.291,0.374
138,13,0.01631,0.444,3.2054,2.5658,0.27,0.349
139,7,0.01991,0.444,3.1889,2.5906,0.299,0.394
140,8,0.02649,0.444,3.1013,2.537,0.329,0.422
141,7,0.03029,0.444,3.1919,2.4978,0.279,0.362
142,11,0.02854,0.444,3.1469,2.5795,0.308,0.381
143,12,0.01617,0.444,3.1145,2.5413,0.289,0.397
144,7,0.01614,0.444,3.1575,2.5041,0.268,0.38
145,10,0.0261,0.444,3.1294,2.5161,0.283,0.378
146,11,0.01939,0.444,3.1175,2.5327,0.312,0.429
147,15,0.01682,0.444,3.0911,2.4892,0.316,0.394
148,9,0.01882,0.444,3.0423,2.4564,0.303,0.406
149,7,0.01284,0.444,3.1266,2.4956,0.285,0.357
150,13,0.02289,0.444,3.0854,2.4985,0.351,0.43
151,10,0.02032,0.444,3.0783,2.4952,0.309,0.395
152,11,0.02077,0.444,3.0356,2.4961,0.356,0.444
153,17,0.02372,0.444,3.0772,2.5034,0.339,0.418
154,12,0.02123,0.444,3.0699,2.4797,0.354,0.439
155,15,0.02506,0.444,3.0603,2.4849,0.312,0.415
156,11,0.02734,0.444,3.1087,2.4111,0.264,0.361
157,8,0.0191,0.444,3.0811,2.46,0.276,0.38
158,9,0.02375,0.444,3.0557,2.452,0.253,0.372
159,12,0.02006,0.444,3.0723,2.4844,0.276,0.394
160,12,0.01708,0.444,3.0774,2.47,0.334,0.402
161,11,0.01851,0.444,3.0382,2.4275,0.318,0.42
162,9,0.01466,0.444,3.0466,2.4924,0.317,0.427
163,7,0.01719,0.444,3.145,2.5372,0.292,0.376
164,15,0.01768,0.444,3.0553,2.4342,0.347,0.436
165,8,0.01682,0.444,3.0676,2.4599,0.304,0.406
166,8,0.0185,0.444,3.0276,2.4823,0.307,0.414
167,10,0.01968,0.444,3.0198,2.4206,0.351,0.438
168,10,0.02045,0.444,3.0256,2.4656,0.32,0.419
169,10,0.02746,0.444,3.0359,2.4048,0.295,0.392
170,9,0.02137,0.444,3.0976,2.4693,0.287,0.378
171,11,0.02892,0.444,2.8907,2.3855,0.396,0.5
172,13,0.02472,0.444,3.0231,2.4413,0.331,0.405
173,9,0.02007,0.444,2.9588,2.3863,0.366,0.487
174,15,0.02214,0.444,3.1351,2.5041,0.256,0.363
175,15,0.01886,0.444,2.9752,2.4041,0.312,0.444
176,9,0.02479,0.444,2.9581,2.3991,0.395,0.464
177,11,0.02002,0.444,2.9678,2.4291,0.37,0.447
178,8,0.02053,0.444,3.0141,2.4383,0.303,0.412
179,7,0.02438,0.444,2.9741,2.3814,0.326,0.433
180,19,0.02112,0.444,2.933,2.4066,0.381,0.471
181,10,0.01766,0.444,2.9305,2.4048,0.392,0.475
182,10,0.01392,0.444,2.9936,2.3778,0.298,0.419
183,9,0.01882,0.444,2.9888,2.4094,0.339,0.423
184,15,0.02233,0.444,2.9571,2.3538,0.285,0.387
185,11,0.02411,0.444,3.0048,2.4148,0.313,0.427
186,9,0.0146,0.444,2.9466,2.4331,0.384,0.479
187,10,0.01951,0.444,2.9527,2.3868,0.3,0.402
188,9,0.01627,0.444,2.9978,2.3911,0.299,0.4
189,20,0.02021,0.444,2.9256,2.3681,0.335,0.444
190,7,0.01985,0.444,2.9766,2.3746,0.356,0.434
191,7,0.02174,0.444,2.8626,2.3756,0.356,0.467
192,7,0.03127,0.444,2.9009,2.3398,0.354,0.447
193,13,0.02476,0.444,2.9654,2.3613,0.304,0.413
194,8,0.02543,0.444,2.9334,2.3706,0.389,0.469
195,12,0.02494,0.444,2.8466,2.3262,0.38,0.479
196,11,0.01751,0.444,2.9938,2.3993,0.337,0.412
197,9,0.01697,0.444,2.8525,2.3309,0.353,0.473
198,11,0.029,0.444,2.8349,2.3139,0.39,0.474
199,9,0.01828,0.444,2.7604,2.3043,0.455,0.522
200,7,0.03192,0.444,2.7732,2.2569,0.412,0.495
201,11,0.02907,0.444,2.8803,2.3191,0.337,0.466
202,7,0.02724,0.444,2.7796,2.2706,0.43,0.523
203,12,0.02932,0.444,2.8327,2.3452,0.306,0.471
204,12,0.02058,0.444,2.8247,2.298,0.415,0.485
205,7,0.02929,0.444,2.7977,2.3183,0.408,0.518
206,7,0.02137,0.444,2.8023,2.2545,0.35,0.462
207,9,0.02402,0.444,2.8419,2.3536,0.384,0.482
208,9,0.02354,0.444,2.8348,2.3479,0.401,0.496
209,13,0.01844,0.444,2.8984,2.3772,0.372,0.461
210,10,0.02625,0.444,2.8042,2.2934,0.425,0.511
211,10,0.02073,0.444,2.7777,2.2962,0.419,0.5
212,9,0.0249,0.444,2.8108,2.3348,0.436,0.506
213,8,0.02067,0.444,2.7551,2.2664,0.429,0.528
214,13,0.02487,0.444,2.6992,2.2351,0.475,0.557
215,11,0.02061,0.444,2.8362,2.2951,0.389,0.483
216,10,0.02514,0.444,2.7418,2.2983,0.423,0.523
217,11,0.01769,0.444,2.7192,2.2781,0.466,0.535
218,8,0.01584,0.444,2.7474,2.253,0.39,0.501
219,11,0.02157,0.444,2.7582,2.2127,0.413,0.493
220,7,0.02065,0.444,2.7269,2.307,0.426,0.526
221,9,0.02719,0.444,2.6996,2.2641,0.429,0.528
222,13,0.01959,0.444,2.7513,2.2273,0.4,0.492
223,9,0.02182,0.444,2.7915,2.2587,0.422,0.487
224,8,0.01799,0.444,2.767,2.214,0.37,0.471
225,7,0.02016,0.444,2.6374,2.2028,0.499,0.565
226,9,0.01757,0.444,2.7226,2.2498,0.49,0.57
227,11,0.01686,0.444,2.7874,2.2306,0.363,0.471
228,9,0.01941,0.444,2.7562,2.2589,0.37,0.462
229,9,0.01161,0.444,2.6819,2.2496,0.445,0.532
230,13,0.01611,0.444,2.6909,2.2275,0.461,0.554
231,8,0.01746,0.444,2.7363,2.2161,0.409,0.49
232,10,0.01147,0.444,2.7238,2.2722,0.462,0.547
233,11,0.01652,0.444,2.6815,2.2359,0.46,0.536
