batch,total_batches,episode_len,data_points,total_data,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
79,1200,30.8,246,10000,0.01238,2.25,3.8224,3.2049,0.37,0.435
80,1200,26.5,212,10000,0.01379,2.25,3.9129,3.2123,0.3,0.371
81,1200,28.2,226,10000,0.01236,2.25,3.86,3.2198,0.324,0.393
82,1200,24.2,194,10000,0.01682,2.25,3.899,3.3122,0.259,0.368
83,1200,22.2,178,10000,0.0116,2.25,3.9819,3.2923,0.225,0.285
84,1200,26.8,214,10000,0.02923,2.25,3.8734,3.2283,0.288,0.374
85,1200,29.5,236,10000,0.01304,2.25,3.856,3.1466,0.353,0.403
86,1200,25.8,206,10000,0.02752,2.25,3.8577,3.2216,0.299,0.38
87,1200,25.5,204,10000,0.01111,2.25,3.8812,3.2668,0.258,0.328
88,1200,22.2,178,10000,0.02073,2.25,3.8816,3.2212,0.21,0.285
89,1200,30.5,244,10000,0.01709,2.25,3.8346,3.1643,0.258,0.308
90,1200,29.0,232,10000,0.01254,2.25,3.7827,3.1746,0.271,0.334
91,1200,19.2,154,10000,0.0154,2.25,3.7797,3.1523,0.335,0.385
92,1200,24.5,196,10000,0.01669,2.25,3.8656,3.1614,0.269,0.324
93,1200,20.8,166,10000,0.02017,2.25,3.8477,3.2112,0.223,0.284
94,1200,28.2,226,10000,0.01506,2.25,3.8231,3.2482,0.288,0.364
95,1200,29.8,238,10000,0.01877,2.25,3.8005,3.2041,0.303,0.36
96,1200,30.5,244,10000,0.01232,2.25,3.7856,3.0969,0.307,0.363
97,1200,27.8,222,10000,0.01751,2.25,3.824,3.1254,0.253,0.32
98,1200,24.8,198,10000,0.01338,2.25,3.8792,3.1825,0.245,0.303
99,1200,22.2,178,10000,0.01183,2.25,3.7782,3.1912,0.318,0.384
100,1200,22.0,176,10000,0.01147,2.25,3.8036,3.1751,0.259,0.331
101,1200,21.5,172,10000,0.01295,2.25,3.7743,3.125,0.276,0.361
102,1200,21.5,172,10000,0.01097,2.25,3.6838,3.1283,0.376,0.418
103,1200,30.5,244,10000,0.01693,2.25,3.7588,3.0967,0.246,0.322
104,1200,25.2,202,10000,0.01345,2.25,3.772,3.0779,0.27,0.363
105,1200,17.2,138,10000,0.01745,2.25,3.8292,3.1263,0.173,0.267
106,1200,22.2,178,10000,0.01157,2.25,3.8238,3.1408,0.229,0.285
107,1200,18.5,148,10000,0.01655,2.25,3.7208,3.1092,0.318,0.343
108,1200,28.5,228,10000,0.0139,2.25,3.6847,3.1184,0.315,0.368
109,1200,19.0,152,10000,0.01526,2.25,3.7313,3.1224,0.286,0.335
110,1200,29.0,232,10000,0.01055,2.25,3.8275,3.1388,0.192,0.27
111,1200,22.8,182,10000,0.01659,2.25,3.7021,3.0874,0.288,0.342
112,1200,26.8,214,10000,0.01309,2.25,3.7588,3.0041,0.245,0.312
113,1200,25.2,202,10000,0.01462,2.25,3.8463,3.0594,0.222,0.295
114,1200,24.0,192,10000,0.01201,2.25,3.7379,3.095,0.255,0.309
115,1200,21.8,174,10000,0.01098,2.25,3.7293,3.0909,0.227,0.292
116,1200,26.2,210,10000,0.0153,2.25,3.764,3.0921,0.272,0.327
117,1200,31.0,248,10000,0.01191,2.25,3.7568,3.102,0.253,0.312
118,1200,26.8,214,10000,0.01234,2.25,3.7118,3.0661,0.264,0.343
119,1200,28.8,230,10000,0.01626,2.25,3.7577,3.0748,0.231,0.296
120,1200,22.0,176,10000,0.01248,2.25,3.6194,3.1032,0.331,0.391
121,1200,23.2,186,10000,0.01838,2.25,3.6058,3.0516,0.269,0.323
122,1200,33.8,270,10000,0.01205,2.25,3.8095,2.9921,0.228,0.313
123,1200,27.8,222,10000,0.01388,2.25,3.684,2.995,0.228,0.296
124,1200,31.8,254,10000,0.01577,2.25,3.6287,2.9627,0.315,0.373
125,1200,24.2,194,10000,0.01357,2.25,3.6815,2.9728,0.271,0.328
126,1200,22.8,182,10000,0.01203,2.25,3.6596,2.9869,0.308,0.378
127,1200,23.0,184,10000,0.0167,2.25,3.7643,3.066,0.176,0.252
128,1200,29.5,236,10000,0.01412,2.25,3.5728,3.0781,0.347,0.434
129,1200,23.5,188,10000,0.01637,2.25,3.6809,3.0595,0.213,0.293
130,1200,22.2,178,10000,0.01805,2.25,3.5873,2.9788,0.291,0.375
131,1200,23.2,186,10000,0.02087,2.25,3.622,2.9251,0.297,0.361
132,1200,26.2,210,10000,0.01903,2.25,3.7051,2.9413,0.287,0.361
133,1200,25.8,206,10000,0.01459,2.25,3.6617,2.9391,0.318,0.379
134,1200,26.0,208,10000,0.02203,2.25,3.6756,3.0438,0.263,0.349
135,1200,27.0,216,10000,0.0129,2.25,3.5996,3.0397,0.225,0.302
136,1200,22.5,180,10000,0.0124,2.25,3.5224,2.9699,0.376,0.431
137,1200,24.5,196,10000,0.01568,2.25,3.5514,3.0048,0.325,0.382
138,1200,30.0,240,10000,0.01653,2.25,3.6773,3.02,0.278,0.347
139,1200,23.8,190,10000,0.01887,2.25,3.6415,2.9831,0.25,0.328
140,1200,23.2,186,10000,0.02947,2.25,3.6577,2.9866,0.272,0.368
141,1200,17.8,142,10000,0.01566,2.25,3.574,2.9588,0.276,0.346
142,1200,26.5,212,10000,0.03224,2.25,3.5853,2.8709,0.312,0.378
143,1200,17.8,142,10000,0.02325,2.25,3.5318,2.8903,0.296,0.385
144,1200,20.5,164,10000,0.02537,2.25,3.5639,2.9384,0.331,0.38
145,1200,30.0,240,10000,0.01718,2.25,3.5866,2.9374,0.265,0.33
146,1200,25.5,204,10000,0.02028,2.25,3.5653,2.9675,0.271,0.342
147,1200,32.8,262,10000,0.01759,2.25,3.5463,2.9362,0.252,0.345
148,1200,24.0,192,10000,0.01798,2.25,3.5958,2.9392,0.277,0.368
149,1200,27.8,222,10000,0.01727,2.25,3.5619,2.8798,0.205,0.284
150,1200,25.2,202,10000,0.02197,2.25,3.5032,2.8896,0.324,0.409
151,1200,30.5,244,10000,0.01599,2.25,3.5409,2.9381,0.252,0.336
152,1200,31.8,254,10000,0.01073,2.25,3.5437,2.9205,0.269,0.33
153,1200,24.8,198,10000,0.02372,2.25,3.4892,2.8132,0.187,0.308
154,1200,15.8,126,10000,0.02048,2.25,3.596,2.8531,0.219,0.307
155,1200,30.0,240,10000,0.02034,2.25,3.4877,2.9082,0.286,0.358
156,1200,21.8,174,10000,0.02286,2.25,3.5169,2.8142,0.166,0.241
157,1200,23.5,188,10000,0.01727,2.25,3.5667,2.8512,0.251,0.338
158,1200,27.2,218,10000,0.02053,2.25,3.5451,2.8596,0.253,0.35
159,1200,28.0,224,10000,0.02606,2.25,3.4581,2.817,0.328,0.408
160,1200,34.2,274,10000,0.01186,2.25,3.4695,2.7672,0.295,0.377
161,1200,29.2,234,10000,0.01459,2.25,3.5147,2.8442,0.266,0.351
162,1200,28.0,224,10000,0.01602,2.25,3.4905,2.945,0.275,0.353
163,1200,26.8,214,10000,0.01757,2.25,3.3999,2.8754,0.358,0.434
164,1200,20.5,164,10000,0.01416,2.25,3.4222,2.8238,0.332,0.426
165,1200,22.2,178,10000,0.01704,2.25,3.5058,2.8197,0.285,0.361
166,1200,23.5,188,10000,0.01328,2.25,3.4247,2.8113,0.284,0.376
167,1200,26.2,210,10000,0.01694,2.25,3.4586,2.82,0.238,0.339
168,1200,28.2,226,10000,0.01713,2.25,3.4511,2.8171,0.238,0.338
169,1200,27.2,218,10000,0.012,2.25,3.4113,2.8214,0.319,0.406
170,1200,26.5,212,10000,0.02017,2.25,3.3949,2.8481,0.292,0.389
171,1200,27.2,218,10000,0.02214,2.25,3.5128,2.8841,0.248,0.382
172,1200,26.8,214,10000,0.01895,2.25,3.5031,2.7483,0.218,0.291
173,1200,22.8,182,10000,0.02033,2.25,3.4737,2.7929,0.314,0.405
174,1200,22.2,178,10000,0.01759,2.25,3.402,2.7948,0.327,0.425
175,1200,18.0,144,10000,0.0126,2.25,3.3492,2.8063,0.394,0.466
176,1200,32.2,258,10000,0.02003,2.25,3.4493,2.8318,0.265,0.384
177,1200,19.2,154,10000,0.01425,2.25,3.4886,2.7602,0.259,0.329
178,1200,21.5,172,10000,0.01405,2.25,3.5591,2.8269,0.255,0.346
179,1200,27.5,220,10000,0.02446,2.25,3.4577,2.8175,0.252,0.328
180,1200,18.0,144,10000,0.02033,2.25,3.3623,2.7961,0.291,0.348
181,1200,21.2,170,10000,0.02214,2.25,3.4889,2.7756,0.241,0.326
182,1200,21.5,172,10000,0.01967,2.25,3.3786,2.7278,0.301,0.381
183,1200,18.2,146,10000,0.02903,2.25,3.2923,2.756,0.326,0.403
184,1200,27.2,218,10000,0.01362,2.25,3.5444,2.8049,0.239,0.347
185,1200,31.5,252,10000,0.02371,2.25,3.429,2.6674,0.315,0.38
186,1200,27.8,222,10000,0.03519,2.25,3.4105,2.7217,0.32,0.404
187,1200,26.8,214,10000,0.01962,2.25,3.4124,2.822,0.328,0.409
188,1200,21.2,170,10000,0.02456,2.25,3.2733,2.7218,0.379,0.452
189,1200,20.0,160,10000,0.0175,2.25,3.4752,2.7498,0.254,0.347
190,1200,21.8,174,10000,0.01957,2.25,3.4544,2.9057,0.368,0.45
191,1200,21.0,168,10000,0.01805,2.25,3.4438,2.8749,0.329,0.436
192,1200,20.0,160,10000,0.01764,2.25,3.3611,2.7084,0.296,0.373
