batch,total_batches,episode_len,data_points,total_data,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
338,1200,20.0,160,10000,0.02299,3.375,3.2154,2.6278,0.389,0.507
339,1200,18.0,144,10000,0.01483,3.375,3.2309,2.5733,0.278,0.373
340,1200,25.2,202,10000,0.01677,3.375,3.156,2.5788,0.357,0.472
341,1200,20.0,160,10000,0.0146,3.375,3.1721,2.6484,0.349,0.476
342,1200,21.0,168,10000,0.0138,3.375,3.0476,2.524,0.442,0.535
343,1200,27.0,216,10000,0.02189,3.375,3.1816,2.6414,0.392,0.506
344,1200,18.2,146,10000,0.01607,3.375,3.157,2.5979,0.349,0.45
345,1200,20.2,162,10000,0.02172,3.375,3.2825,2.6267,0.293,0.418
346,1200,22.5,180,10000,0.0144,3.375,3.1743,2.5722,0.313,0.432
347,1200,20.8,166,10000,0.01225,3.375,3.1992,2.6385,0.395,0.478
348,1200,24.0,192,10000,0.01982,3.375,3.1973,2.5913,0.353,0.449
349,1200,26.0,208,10000,0.01692,3.375,3.3935,2.6014,0.157,0.299
350,1200,23.2,186,10000,0.01024,3.375,3.1799,2.6493,0.375,0.466
351,1200,23.2,186,10000,0.02104,3.375,3.2075,2.6463,0.372,0.479
352,1200,21.8,174,10000,0.01354,3.375,3.2848,2.6686,0.28,0.411
353,1200,19.5,156,10000,0.01349,3.375,3.2506,2.6223,0.314,0.415
354,1200,19.0,152,10000,0.01462,3.375,3.2299,2.5616,0.357,0.468
355,1200,16.5,132,10000,0.02007,3.375,3.1494,2.5846,0.331,0.428
356,1200,29.5,236,10000,0.01415,3.375,3.2205,2.6273,0.34,0.468
357,1200,18.5,148,10000,0.01339,3.375,3.081,2.4821,0.306,0.415
358,1200,17.8,142,10000,0.01676,3.375,3.1395,2.5217,0.267,0.375
359,1200,29.2,234,10000,0.02115,3.375,3.1561,2.6395,0.379,0.501
360,1200,33.5,268,10000,0.01267,3.375,3.0648,2.6491,0.419,0.517
361,1200,21.8,174,10000,0.01265,3.375,3.1706,2.5505,0.309,0.423
362,1200,22.0,176,10000,0.018,3.375,3.1938,2.5057,0.248,0.38
363,1200,23.5,188,10000,0.01824,3.375,3.2773,2.6477,0.342,0.454
364,1200,20.0,160,10000,0.02735,3.375,3.1951,2.6584,0.356,0.441
365,1200,21.0,168,10000,0.01272,3.375,3.1518,2.4844,0.31,0.407
366,1200,14.8,118,10000,0.01505,3.375,3.1642,2.5959,0.413,0.478
367,1200,23.5,188,10000,0.01755,3.375,3.2351,2.5368,0.221,0.338
368,1200,27.0,216,10000,0.01121,3.375,3.2818,2.6189,0.328,0.417
369,1200,21.2,170,10000,0.01321,3.375,3.2724,2.6471,0.26,0.365
370,1200,21.2,170,10000,0.02134,3.375,3.1396,2.6154,0.376,0.453
371,1200,22.8,182,10000,0.02679,3.375,3.2418,2.6264,0.322,0.414
372,1200,20.8,166,10000,0.01788,3.375,3.1404,2.4815,0.344,0.448
373,1200,27.5,220,10000,0.02669,3.375,3.3242,2.5559,0.153,0.274
374,1200,28.8,230,10000,0.01506,3.375,3.1613,2.5791,0.32,0.412
375,1200,13.8,110,10000,0.02087,3.375,3.1443,2.5697,0.309,0.408
376,1200,25.0,200,10000,0.0179,3.375,3.1855,2.4881,0.248,0.398
377,1200,28.0,224,10000,0.01647,3.375,3.1746,2.5464,0.319,0.411
378,1200,24.5,196,10000,0.01275,3.375,3.1029,2.577,0.396,0.494
379,1200,16.8,134,10000,0.01699,3.375,3.2348,2.5602,0.263,0.395
380,1200,23.5,188,10000,0.02211,3.375,3.1673,2.5808,0.268,0.405
381,1200,18.8,150,10000,0.01359,3.375,3.2951,2.5801,0.286,0.411
382,1200,26.0,208,10000,0.01813,3.375,3.2265,2.6412,0.282,0.385
383,1200,18.8,150,10000,0.01789,3.375,3.2058,2.617,0.318,0.395
384,1200,15.5,124,10000,0.01409,3.375,3.1417,2.5221,0.301,0.411
385,1200,24.5,196,10000,0.01639,3.375,3.2125,2.534,0.297,0.393
386,1200,23.5,188,10000,0.01702,3.375,3.2068,2.5429,0.303,0.406
387,1200,25.8,206,10000,0.02088,3.375,3.3211,2.5937,0.25,0.374
388,1200,25.0,200,10000,0.01574,3.375,3.0939,2.4925,0.329,0.434
389,1200,26.0,208,10000,0.00969,5.062,3.1105,2.4872,0.313,0.411
390,1200,28.0,224,10000,0.04203,3.375,3.1243,2.5346,0.244,0.37
391,1200,26.8,214,10000,0.02601,3.375,3.1158,2.4858,0.371,0.453
392,1200,21.8,174,10000,0.01778,3.375,3.169,2.4266,0.36,0.452
393,1200,21.5,172,10000,0.02544,3.375,3.3073,2.5527,0.229,0.356
394,1200,19.2,154,10000,0.01359,3.375,3.1888,2.6066,0.313,0.429
395,1200,18.8,150,10000,0.01403,3.375,3.2373,2.5315,0.204,0.324
396,1200,19.8,158,10000,0.01165,3.375,3.1584,2.5889,0.332,0.436
397,1200,22.2,178,10000,0.01552,3.375,3.254,2.5964,0.334,0.46
398,1200,16.5,132,10000,0.01267,3.375,3.2677,2.6363,0.278,0.394
399,1200,20.8,166,10000,0.01569,3.375,3.2018,2.5603,0.347,0.436
400,1200,21.8,174,10000,0.0124,3.375,3.1466,2.5181,0.373,0.473
401,1200,16.2,130,10000,0.01701,3.375,3.1999,2.5697,0.337,0.442
402,1200,22.5,180,10000,0.01251,3.375,3.205,2.5263,0.284,0.382
403,1200,19.2,154,10000,0.02004,3.375,3.0548,2.5065,0.378,0.444
404,1200,18.0,144,10000,0.01873,3.375,3.2319,2.5713,0.378,0.466
405,1200,25.8,206,10000,0.01271,3.375,3.1126,2.477,0.37,0.472
406,1200,27.2,218,10000,0.01843,3.375,3.0774,2.5274,0.429,0.534
407,1200,23.0,184,10000,0.01406,3.375,3.1021,2.5214,0.395,0.502
408,1200,19.8,158,10000,0.01027,3.375,3.0664,2.5383,0.352,0.466
409,1200,22.8,182,10000,0.01405,3.375,3.1536,2.5891,0.371,0.492
410,1200,20.5,164,10000,0.01704,3.375,3.0116,2.4177,0.393,0.51
411,1200,26.0,208,10000,0.02125,3.375,3.0725,2.5027,0.467,0.544
412,1200,25.8,206,10000,0.02318,3.375,3.0602,2.4546,0.414,0.514
413,1200,19.2,154,10000,0.03387,3.375,3.116,2.5262,0.436,0.539
414,1200,19.5,156,10000,0.01995,3.375,3.0296,2.5051,0.425,0.55
415,1200,15.0,120,10000,0.01819,3.375,3.0284,2.5022,0.441,0.509
416,1200,19.0,152,10000,0.02038,3.375,3.2186,2.4939,0.265,0.431
417,1200,19.5,156,10000,0.01397,3.375,3.1524,2.6648,0.405,0.531
418,1200,17.5,140,10000,0.0105,3.375,3.1024,2.5913,0.423,0.534
