batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
107,9,0.02097,0.444,2.7247,2.3168,0.486,0.571
108,10,0.03486,0.444,2.8507,2.4407,0.49,0.576
109,7,0.03672,0.444,2.8375,2.3087,0.433,0.515
110,13,0.03724,0.444,2.7656,2.4362,0.513,0.593
111,14,0.03021,0.444,2.8715,2.318,0.44,0.5
112,14,0.01908,0.444,2.8249,2.307,0.438,0.512
113,7,0.0182,0.444,2.8014,2.3126,0.464,0.513
114,10,0.02003,0.444,2.823,2.4149,0.507,0.575
115,13,0.01204,0.444,2.8634,2.4294,0.45,0.535
116,7,0.01284,0.444,2.8564,2.4198,0.492,0.546
117,7,0.01039,0.444,2.8454,2.3079,0.452,0.516
118,7,0.01471,0.444,2.7383,2.3926,0.508,0.583
119,11,0.01004,0.444,2.7551,2.3491,0.462,0.554
120,9,0.01638,0.444,2.7165,2.2763,0.52,0.585
121,13,0.014,0.444,2.6728,2.2517,0.544,0.621
122,9,0.02196,0.444,2.7509,2.2586,0.483,0.551
123,8,0.01144,0.444,2.8119,2.3402,0.37,0.452
124,12,0.02451,0.444,2.7475,2.362,0.488,0.538
125,7,0.02953,0.444,2.717,2.1029,0.404,0.483
126,10,0.01579,0.444,2.7493,2.2349,0.433,0.5
127,7,0.0127,0.444,2.7028,2.27,0.428,0.512
128,9,0.01814,0.444,2.6016,2.1819,0.411,0.507
129,12,0.01798,0.444,2.7715,2.1841,0.352,0.455
130,13,0.02358,0.444,2.6082,2.0964,0.469,0.565
131,15,0.02585,0.444,2.5909,2.1894,0.44,0.52
132,9,0.02547,0.444,2.6065,2.1176,0.426,0.512
133,11,0.02474,0.444,2.6365,2.1193,0.442,0.538
134,9,0.02084,0.444,2.6223,2.1177,0.398,0.47
135,8,0.01574,0.444,2.6982,2.1842,0.419,0.49
136,9,0.01344,0.444,2.5866,2.0987,0.389,0.502
137,9,0.01292,0.444,2.5372,2.1218,0.449,0.545
138,11,0.02009,0.444,2.5745,2.0967,0.474,0.541
139,13,0.0206,0.444,2.6121,2.1297,0.43,0.522
140,9,0.02716,0.444,2.5522,2.1029,0.448,0.521
141,10,0.01674,0.444,2.5794,2.0463,0.39,0.458
142,13,0.01917,0.444,2.6567,2.1555,0.328,0.428
143,9,0.02309,0.444,2.4146,2.0064,0.5,0.567
144,7,0.02038,0.444,2.5093,1.9415,0.422,0.499
145,12,0.02876,0.444,2.5205,2.0711,0.4,0.501
146,12,0.02797,0.444,2.6141,2.1489,0.413,0.538
147,15,0.01502,0.444,2.5328,2.0448,0.432,0.492
148,8,0.03023,0.444,2.5714,2.0831,0.36,0.472
149,10,0.0162,0.444,2.4589,1.9956,0.46,0.542
150,9,0.0221,0.444,2.4872,1.9859,0.459,0.526
151,8,0.023,0.444,2.612,2.0313,0.356,0.452
